date,code,owner,dy,p_return,bps,eps
20080930,A003350,0,0.75,4.17,6427.29,-174.69
20080930,A077970,98362,1.88,0.12,19318.7,3373.54
20080930,A034590,207,5.25,1.11,26030.49,2675.2
20080930,A103130,0,0,0,11474.61,7482.17
20080930,A002700,0,0,-0.65,270.34,-235.68
20080930,A033180,0,3.66,-4.53,1866.06,68.21
20080930,A014990,0,0,4.41,1606.48,614.08
20080930,A008600,40,5.15,-0.96,12994.38,417.54
20080930,A017900,0,0,-0.6,4301.87,-1049.2
20080930,A003960,1380,0,1.17,11194.76,1927.83
20080930,A075580,0,0,0,26669.8,10235.14
20080930,A012170,3,0,-12.8,-409.19,-1097.95
20080930,A053690,0,0,0,3802.79,1211.97
20080930,A004770,0,0.69,1.91,1697.35,-163
