date,code,owner,dy,p_return,bps,eps
20080930,A012690,0,0,-3.07,204.41,-406
20080930,A008350,0,0,-0.88,4177.43,-1832.73
20080930,A003480,2641,5.06,-1.36,36263.89,2761.04
20080930,A014790,311,5.78,-2.44,39681.81,4581.56
20080930,A002210,0,0.5,-0.6,3361.59,173.07
20080930,A002820,0,1.41,-0.22,99477.59,-2140.33
20080930,A035510,0,2.17,0.81,47890.82,7010.19
20080930,A005190,40,2.2,-13.27,36370.79,150.95
20080930,A001530,0,1.96,-0.25,138413.36,1135.23
20080930,A005800,0,1.31,0,229110.42,15282.49
20080930,A100220,0,2.35,0,11665.34,966.59
20080930,A024090,0,1.89,1.21,7726.96,898.59
20080930,A035000,0,2,-2.45,6788.14,-174.55
20080930,A004560,26,0,0.8,11754.71,-3778.41
20080930,A003830,0,0.98,0,238684.33,7660.12
20080930,A001380,0,0,0.15,12676.93,-365.91
20080930,A058430,46,3.01,-0.24,36142.16,-8080.36
20080930,A047400,0,0,0,6806.9,852.72
20080930,A023000,0,0,0,5899.54,1379.53
20080930,A024890,0,0,-1.25,1884.48,-283.74
20080930,A006090,0,0,-3.77,6646.27,571.87
20080930,A012030,0,3.07,-1.64,31438.34,4198.46
20080930,A003350,880,0.75,4.17,6427.29,-174.69
20080930,A077970,12874,1.88,0.12,19318.7,3373.54
20080930,A034590,52,5.25,1.11,26030.49,2675.2
20080930,A103130,0,0,0,11474.61,7482.17
20080930,A002700,0,0,-0.65,270.34,-235.68
20080930,A033180,0,3.66,-4.53,1866.06,68.21
20080930,A014990,0,0,4.41,1606.48,614.08
20080930,A008600,0,5.15,-0.96,12994.38,417.54
20080930,A017900,0,0,-0.6,4301.87,-1049.2
20080930,A003960,1396,0,1.17,11194.76,1927.83
20080930,A075580,0,0,0,26669.8,10235.14
20080930,A012170,0,0,-12.8,-409.19,-1097.95
20080930,A053690,0,0,0,3802.79,1211.97
20080930,A004770,0,0.69,1.91,1697.35,-163
20080930,A006340,0,0,-5.19,8088.77,59.46
20080930,A068290,0,3.88,8.02,5032.54,465.72
20080930,A093240,0,0,0,4283.92,727.02
